N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
136,현대백화점,"81,000","1,300",-1.58%,"5,000","18,956","23,402",14.68,"196,718",16.59,4.64,
137,대웅제약,"163,000","6,000",-3.55%,"2,500","18,886","11,587",5.22,"166,459","-1,139.86",4.34,
138,KCC,"211,500","7,000",-3.20%,"5,000","18,795","8,886",11.79,"51,173",-671.43,-4.37,
139,대한유화,"289,000","15,000",+5.47%,"5,000","18,785","6,500",19.68,"272,916",21.16,6.11,
140,현대미포조선,"46,300","1,350",-2.83%,"5,000","18,493","39,942",13.07,"361,834",39.85,2.31,
141,두산인프라코어,"8,560",160,+1.90%,"5,000","18,484","215,932",5.93,"5,955,469",11.05,11.59,
142,BNK금융지주,"5,600",20,+0.36%,"5,000","18,252","325,935",38.22,"989,341",3.80,7.07,
143,현대해상,"20,350",450,-2.16%,500,"18,193","89,400",36.64,"782,300",4.99,6.23,
144,현대엘리베이,"44,500",250,+0.56%,"5,000","18,163","40,815",25.98,"325,243",19.93,5.22,
145,세방전지,"129,500","18,500",+16.67%,500,"18,130","14,000",26.32,"761,642",24.53,7.70,
146,농심,"294,500","3,500",-1.17%,"5,000","17,913","6,083",17.74,"34,316",13.21,3.72,
147,한올바이오파마,"34,150","1,000",-2.84%,500,"17,840","52,241",7.21,"223,120",90.58,14.90,
148,KODEX 단기채권,"102,665",0,0.00%,0,"17,696","17,237",0.00,"10,693",N/A,N/A,
149,KODEX 삼성그룹,"10,870",95,+0.88%,0,"17,283","159,000",0.03,"568,555",N/A,N/A,
150,아이에스동서,"55,700",300,-0.54%,500,"17,207","30,893",5.43,"90,598",13.43,6.10,
151,KODEX 레버리지,"27,620",245,-0.88%,0,"16,682","60,400",1.63,"45,672,332",N/A,N/A,
152,KODEX 200TR,"13,795",70,-0.50%,0,"16,451","119,250",0.07,"758,413",N/A,N/A,
153,효성,"77,200",700,+0.92%,"5,000","16,267","21,071",6.97,"109,320",-36.19,4.25,
154,명신산업,"39,850","2,350",-5.57%,500,"16,250","40,779",1.53,"1,171,617",N/A,53.84,
155,KODEX MSCI Korea TR,"13,895",100,-0.71%,0,"16,160","116,300",10.98,"381,387",N/A,N/A,
156,솔루스첨단소재,"52,400","2,000",-3.68%,100,"16,029","30,590",9.53,"561,001",151.45,N/A,
157,영원무역,"35,900",900,+2.57%,500,"15,908","44,311",23.75,"268,958",9.71,9.82,
158,한국앤컴퍼니,"17,000",700,+4.29%,500,"15,813","93,020",7.45,"737,329",14.19,4.71,
159,LG생활건강우,"740,000","15,000",-1.99%,"5,000","15,538","2,100",84.47,"8,698",16.58,N/A,
160,F&F,"100,500","1,000",-0.99%,500,"15,477","15,400",10.01,"61,803",17.77,25.13,
161,부광약품,"23,500",300,-1.26%,500,"15,237","64,838",4.88,"376,200","11,750.00",-2.00,
162,TIGER MSCI Korea TR,"17,460",140,-0.80%,0,"15,208","87,100",0.01,"226,271",N/A,N/A,
163,지누스,"105,500","2,000",-1.86%,500,"15,199","14,407",23.14,"39,856",21.29,26.32,
164,KODEX 종합채권(AA-이상)액티브,"109,865",65,+0.06%,0,"14,994","13,648",0.00,"22,785",N/A,N/A,
165,LG전자우,"87,000","2,300",-2.58%,"5,000","14,952","17,186",38.30,"725,971",18.90,N/A,
166,롯데정밀화학,"57,800","1,000",-1.70%,"5,000","14,912","25,800",22.83,"167,776",8.72,11.73,
167,NHN,"72,300",500,+0.70%,500,"14,146","19,565",11.64,"86,916",48.17,0.78,
168,SK네트웍스,"5,570",80,+1.46%,"2,500","13,824","248,188",11.95,"3,711,087",-24.11,-5.85,
169,메리츠금융지주,"9,790",60,+0.62%,500,"13,120","134,011",8.30,"299,286",2.82,15.26,
170,신세계인터내셔날,"183,500","2,000",-1.08%,"5,000","13,102","7,140",4.99,"60,725",29.06,12.98,
171,영진약품,"7,090",80,-1.12%,500,"12,967","182,893",4.24,"693,740","-1,772.50",4.43,
172,동원시스템즈,"50,500","8,950",+21.54%,"5,000","12,937","25,619",1.63,"1,859,367",28.69,8.69,
173,효성티앤씨,"295,500","11,500",+4.05%,"5,000","12,788","4,328",18.10,"170,117",15.00,20.86,
174,SK디스커버리,"65,900","3,800",-5.45%,"5,000","12,546","19,038",10.15,"254,111",4.33,11.52,
175,한국콜마,"54,700",600,-1.08%,500,"12,516","22,881",28.04,"393,521",39.35,6.39,
176,에스엘,"25,900",300,-1.15%,500,"12,485","48,203",15.03,"731,134",27.82,7.25,
177,이노션,"62,400","1,300",+2.13%,500,"12,480","20,000",29.43,"109,778",19.43,9.88,
178,한전KPS,"27,700",300,-1.07%,200,"12,465","45,000",10.89,"259,018",10.28,14.98,
179,다우기술,"27,650","1,300",+4.93%,500,"12,406","44,867",22.81,"4,001,926",4.45,14.62,
180,금호타이어,"4,200",20,+0.48%,"5,000","12,065","287,260",5.36,"729,170",-12.03,-3.30,
181,KBSTAR 200,"42,980",145,-0.34%,0,"11,862","27,600",0.12,"139,655",N/A,N/A,
182,코오롱인더,"43,900",400,-0.90%,"5,000","11,844","26,979",15.55,"223,451",7.86,1.58,
183,더블유게임즈,"64,200",0,0.00%,500,"11,796","18,375",14.23,"83,520",11.01,18.93,
184,KODEX 코스닥150 레버리지,"16,470",420,-2.49%,0,"11,743","71,300",3.99,"18,301,968",N/A,N/A,
185,후성,"12,600",200,-1.56%,500,"11,668","92,607",4.56,"1,690,867",-229.09,3.85,
186,아시아나항공,"15,500",500,-3.12%,"5,000","11,534","74,412",20.29,"1,263,630",-1.34,-90.67,
187,DGB금융지주,"6,760",100,-1.46%,"5,000","11,434","169,146",47.28,"380,374",3.45,7.31,
188,롯데칠성,"125,000",500,+0.40%,500,"11,219","8,975",10.54,"31,229",-12.82,-11.68,
189,KG동부제철,"11,200",400,-3.45%,"5,000","11,201","100,009",0.13,"305,139",13.59,-7.44,
190,KODEX 인버스,"3,895",15,+0.39%,0,"11,132","285,800",2.81,"108,057,892",N/A,N/A,
191,롯데관광개발,"15,950",300,-1.85%,500,"11,049","69,276",4.67,"449,382",-23.42,-4.77,
192,JB금융지주,"5,530",50,-0.90%,"5,000","10,893","196,983",39.57,"295,088",3.15,10.36,
193,코스맥스,"107,500","2,000",-1.83%,500,"10,803","10,050",24.38,"145,350",26.61,10.45,
194,S&T모티브,"73,700","1,000",-1.34%,"5,000","10,777","14,623",26.33,"173,385",17.29,0.33,
195,보령제약,"20,650",600,-2.82%,500,"10,763","52,120",7.01,"620,746",37.01,11.96,
196,대한전선,"1,250",35,-2.72%,500,"10,706","856,473",2.02,"20,077,653",-69.44,-3.99,
197,LG상사,"26,950",250,-0.92%,"5,000","10,446","38,760",22.59,"193,060",7.34,2.49,
198,한미반도체,"20,000","1,050",-4.99%,200,"10,300","51,502",5.34,"889,098",23.39,8.85,
199,DL,"66,400","3,700",-5.28%,"5,000","10,253","15,441",35.69,"711,891",3.51,11.74,
200,CJ CGV,"29,150",650,-2.18%,500,"10,232","35,100",5.64,"461,672",-1.57,-57.60,
